seed,epoch,train_loss
42,1,1.640089179
42,2,1.551893452
42,3,1.540267298
42,4,1.535914512
42,5,1.532354104
42,6,1.530678562
42,7,1.529231131
42,8,1.52797402
42,9,1.526869841
42,10,1.52619486
42,11,1.525763841
42,12,1.524854528
42,13,1.524692443
42,14,1.524472516
42,15,1.524467995
42,16,1.523694678
42,17,1.523495359
42,18,1.523284708
42,19,1.523125373
42,20,1.522929479
42,21,1.522615109
42,22,1.522550003
42,23,1.522480539
42,24,1.522316372
42,25,1.522101902
42,26,1.522115902
42,27,1.522298884
42,28,1.521831915
42,29,1.521697846
42,30,1.52155334
52,1,1.659262016
52,2,1.553565733
52,3,1.541221605
52,4,1.53580497
52,5,1.532426237
52,6,1.530606199
52,7,1.5293545
52,8,1.527763909
52,9,1.526828787
52,10,1.526325443
52,11,1.525003611
52,12,1.525218284
52,13,1.524467635
52,14,1.524220021
52,15,1.524252466
52,16,1.523905503
52,17,1.523401347
52,18,1.523165155
52,19,1.523200382
52,20,1.522703939
52,21,1.523058903
52,22,1.522582553
52,23,1.522322077
52,24,1.522761436
52,25,1.522194305
52,26,1.522273585
52,27,1.521829446
52,28,1.521752367
52,29,1.52176839
52,30,1.521717235
62,1,1.6652703
62,2,1.554653093
62,3,1.54124701
62,4,1.536811802
62,5,1.533709291
62,6,1.531033628
62,7,1.528813636
62,8,1.528837397
62,9,1.52716265
62,10,1.526268961
62,11,1.526057873
62,12,1.525564707
62,13,1.524657443
62,14,1.524996956
62,15,1.523959388
62,16,1.524114967
62,17,1.523855304
62,18,1.523468103
62,19,1.523185755
62,20,1.522750144
62,21,1.523239544
62,22,1.522607461
62,23,1.522624299
62,24,1.5223116
62,25,1.522434871
62,26,1.52225098
62,27,1.522068035
62,28,1.522052675
62,29,1.521964668
62,30,1.521549564
72,1,1.65322051
72,2,1.552167816
72,3,1.540536333
72,4,1.535067698
72,5,1.532472338
72,6,1.530607472
72,7,1.528473832
72,8,1.527107873
72,9,1.52663069
72,10,1.5259215
72,11,1.52522342
72,12,1.524665415
72,13,1.524480557
72,14,1.524048003
72,15,1.523785122
72,16,1.523584951
72,17,1.522700239
72,18,1.523286931
72,19,1.522721124
72,20,1.522453332
72,21,1.522714393
72,22,1.522427139
72,23,1.522060133
72,24,1.521760517
72,25,1.521987636
72,26,1.521986584
72,27,1.52166774
72,28,1.521783709
72,29,1.520835364
72,30,1.520423239
82,1,1.638347119
82,2,1.550699529
82,3,1.540008278
82,4,1.535793939
82,5,1.53208421
82,6,1.529722388
82,7,1.528341
82,8,1.527846357
82,9,1.526894039
82,10,1.526277796
82,11,1.525429474
82,12,1.524865407
82,13,1.52511474
82,14,1.524254514
82,15,1.52435199
82,16,1.524048364
82,17,1.523607759
82,18,1.523382695
82,19,1.523124809
82,20,1.52302412
82,21,1.52268841
82,22,1.522745149
82,23,1.522719807
82,24,1.522707978
82,25,1.52221345
82,26,1.522370179
82,27,1.522026545
82,28,1.522084901
82,29,1.52168587
82,30,1.521816983
